,ds_id,name,group,submitter,is_public,polarity,organism,organism_part,condition,source,raw_source,analyzer,raw_analyzer,matrix,raw_matrix,solvent,raw_solvent,rp,fdr5,fdr10,fdr20,fdr50,batch_grouping,matrix_solvent,rp_range,batch_weight
1089,2021-03-30_17h37m20s,12072019_39510_Mes_LN_SHIV-,None,Erin Scholz,True,Positive,human,lymph node,uninfected,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,ice,Other,none,140000.0,49,62,893,6495,2021-03-30_23h04m24s,Other Solvent,medium,0.14285714285714285
1090,2021-03-30_01h47m09s,12062019_42528_Mes_LN_SHIV-,None,Erin Scholz,True,Positive,human,lymph node,uninfected,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,ice,Other,none,140000.0,28,52,687,6548,2021-03-30_23h04m24s,Other Solvent,medium,0.14285714285714285
1091,2021-03-29_21h54m58s,02252020_42350_Mes_LN,None,Erin Scholz,True,Positive,human,lymph node,rt-shiv+,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,ice,Other,none,140000.0,35,24,518,2933,2021-03-24_15h26m36s,Other Solvent,medium,0.3333333333333333
1092,2021-03-29_18h58m28s,11272019_42706_Mes_LN,None,Erin Scholz,True,Positive,human,lymph node,rt-shiv+,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,ice,Other,none,140000.0,34,48,624,7550,2021-03-24_15h26m36s,Other Solvent,medium,0.3333333333333333
1094,2021-03-29_17h41m23s,12022019_42966_Mes_LN_SHIV+,None,Erin Scholz,True,Positive,human,lymph node,rt-shiv+,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,ice,Other,none,140000.0,35,51,451,2534,2021-03-22_17h02m55s,Other Solvent,medium,0.5
1095,2021-03-29_16h11m02s,11262019_41380_SHIV+,None,Erin Scholz,True,Positive,human,lymph node,rt-shiv+,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,ice,Other,none,140000.0,17,54,381,6209,2021-03-29_16h11m02s,Other Solvent,medium,1.0
1097,2021-03-29_14h00m08s,12052019_SHIV+_42827_MES-LN,None,Erin Scholz,True,Positive,human,lymph node,rt-shiv+,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,ice,Other,none,140000.0,43,91,848,6087,2021-03-29_14h00m08s,Other Solvent,medium,1.0
1098,2021-03-29_00h13m35s,1I_pos_highmass,UT Austin,Mary King,True,Positive,n/a,n/a,standards,ESI,DESI,Orbitrap,Orbitrap,Other,none,ACN,100% ACN,60000.0,20,16,95,2499,2021-03-29_00h13m35s,ACN,low,1.0
1101,2021-03-25_23h05m42s,S-2010-004189_Sec1_S1_lip_pos_20210416_dv,PNNL,Dusan Velickovic,True,Positive,human,kidney,biopsy 4189,MALDI,MALDI,FTICR,FTICR,DHB,DHB,MeOH,70% MeOH,200000.0,16,23,20,712,2021-03-26_18h42m28s,DHB,medium,0.25
1102,2021-03-25_19h47m18s,MT_LAESI_03_09_2021_EXP022_Neg_S1,PNNL,Jessica Lukowski,True,Negative,leaf,leaf,leaf,Other,LAESI,Orbitrap,"E.g. FTICR, Orbitrap",Other,none,Other,none,197989.89873223333,48,39,69,63,2021-03-25_19h47m18s,Other Solvent,medium,1.0
1103,2021-03-24_15h26m36s,02042020_42971_Mes_LN,None,Erin Scholz,True,Positive,human,lymph node,rt-shiv+,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,ice,Other,none,140000.0,14,11,138,4481,2021-03-24_15h26m36s,Other Solvent,medium,0.3333333333333333
1107,2021-03-22_17h02m55s,01312020_42707_Mes_LN_SHIV+,None,Erin Scholz,True,Positive,human,lymph node,rt-shiv+,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,ice,Other,none,140000.0,23,67,422,4859,2021-03-22_17h02m55s,Other Solvent,medium,0.5
1110,2021-03-22_15h14m29s,20210317 embl slide 4 maldi2 pos B centroid sorted,Dreisewerd group,Jens Soltwisch,True,Positive,mixed,mixed,n/a,MALDI,MALDI-2,Orbitrap,QExactive plus,DHAP,"2,5-dihydroxyacetophenone (DHAP)",ACN,80/10/10 ACN/MeOH/H2O,140000.0,89,171,1028,10009,2021-03-22_15h14m29s,DHAP,medium,1.0
1111,2021-03-22_13h59m01s,5I_2_150um_Neg_100-1500mz,U Copenhagen,Fernanda Endringer Pinto,True,Negative,none,none,n/a,ESI,DESI,Orbitrap,Orbitrap,Other,none,MeOH,90% MeOH ,140000.0,10,39,175,1321,2021-03-22_13h53m18s,MeOH,medium,0.5
1112,2021-03-22_13h50m40s,5G_1_150um_Neg_75-500mz,U Copenhagen,Fernanda Endringer Pinto,True,Negative,none,none,n/a,ESI,DESI,Orbitrap,Orbitrap,Other,none,MeOH,90% MeOH ,140000.0,31,14,639,1075,2021-03-22_13h50m40s,MeOH,medium,0.5
1113,2021-03-22_13h51m44s,5G_2_150um_Neg_75-500mz,U Copenhagen,Fernanda Endringer Pinto,True,Negative,none,none,n/a,ESI,DESI,Orbitrap,Orbitrap,Other,none,MeOH,90% MeOH ,140000.0,17,284,400,702,2021-03-22_13h50m40s,MeOH,medium,0.5
1114,2021-03-22_13h40m42s,5J_1_150um_Pos_100-1500mz,U Copenhagen,Fernanda Endringer Pinto,True,Positive,none,none,n/a,ESI,DESI,Orbitrap,Orbitrap,Other,none,MeOH,90% MeOH ,140000.0,83,65,837,2434,2021-03-22_13h49m18s,MeOH,medium,0.5
1115,2021-03-22_11h53m50s,MM_sample8B_EMBLinterlabstudy_200x400_100um_A20_3kV_mz300-1200_lock716,JLU Giessen,Max Müller,True,Positive,none,standards,n/a,MALDI,AP-SMALDI5 AF,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,Aceton/water ,240000.0,16,11,90,2295,2021-03-22_11h53m50s,DHB,high,0.5
1116,2021-03-22_11h57m41s,MM_sample8D_EMBLinterlabstudy_200x400_100um_A20_3kV_mz300-1200_nolock_negative9AA,JLU Giessen,Max Müller,True,Negative,none,standards,n/a,MALDI,AP-SMALDI5 AF,Orbitrap,Orbitrap,9AA,9-aminoacridine (9AA),EtOH,Ethanol/Water 70/30,240000.0,5,16,5,274,2021-03-22_11h56m42s,9AA,high,0.5
1118,2021-03-22_11h50m09s,MM_sample8B_EMBLinterlabstudy_200x400_100um_A20_3kV_mz75-300_lock273,JLU Giessen,Max Müller,True,Positive,none,standards,n/a,MALDI,AP-SMALDI5 AF,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,Aceton/water ,240000.0,387,328,926,1033,2021-03-22_11h53m50s,DHB,high,0.5
1126,2021-03-04_23h30m46s,s_2006_002250_50um_01,PNNL,Dusan Velickovic,True,Positive,human,kidney,s_2006_002250,MALDI,MALDI,FTICR,FTICR,DHB,DHB,MeOH,70% MeOH,240000.0,31,19,39,1128,2021-03-04_23h30m46s,DHB,high,1.0
1142,2021-02-10_22h34m54s,20201905_HF_Att35_314x314_7um,None,Laura Capolupo,True,Positive,human,cells,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,none,140000.0,20,102,188,1261,2021-02-10_22h34m54s,DHB,medium,0.3333333333333333
1143,2021-02-10_22h40m23s,20210203_jl_lungmap_nedc_14cycle_2,PNNL,Jessica Lukowski,True,Negative,human,lung,biopsy,MALDI,MALDI,FTICR,FTICR,NEDC,n-(1-naphthyl)ethylenediamine dihydrochloride (NEDC),MeOH,70% MeOH,280000.0,28,30,43,401,2021-02-04_21h51m17s,NEDC,high,0.5
1144,2021-02-04_21h51m53s,20210203_jl_lungmap_nedc_8cycle,PNNL,Jessica Lukowski,True,Negative,human,lung,biopsy,MALDI,MALDI,FTICR,FTICR,NEDC,n-(1-naphthyl)ethylenediamine dihydrochloride (NEDC),MeOH,70% MeOH,280000.0,11,14,47,368,2021-02-04_21h16m42s,NEDC,high,0.25
1145,2021-02-04_21h51m17s,20210203_jl_lungmap_nedc_14cycle_2,PNNL,Jessica Lukowski,True,Negative,human,lung,biopsy,MALDI,MALDI,FTICR,FTICR,NEDC,n-(1-naphthyl)ethylenediamine dihydrochloride (NEDC),MeOH,70% MeOH,280000.0,27,30,44,401,2021-02-04_21h51m17s,NEDC,high,0.5
1157,2021-01-20_19h57m20s,fp02_k_3_1_sacc_maldi_neg_20200709-root mean square,Helmholtz Centre for Environmental Research - UFZ,Martin Lohse,True,Negative,maize,root/soil,wildtype,MALDI,MALDI,FTICR,FTICR,Other,none,Other,none,868150.0,37,38,49,113,2021-01-20_19h57m20s,Other Matrix,high,1.0
1160,2021-01-12_08h50m55s,20201201_Brain_Cer_THAP_pos_i,None,Tina Angerer,True,Positive,mouse,brain,wtype,MALDI,AP-MALDI,Orbitrap,Orbitrap,Other,"2,4,6-Trihydroxyacetophenone (THAP)",Other,none,169705.62748477142,10,20,95,881,2020-10-15_17h41m49s,Other Matrix,medium,0.5
1161,2021-01-07_21h49m14s,20210106_jl_lungmap_nedc_op_agarose2,PNNL,Jessica Lukowski,True,Negative,human,lung,biopsy,MALDI,MALDI,FTICR,FTICR,NEDC,n-(1-naphthyl)ethylenediamine dihydrochloride (NEDC),MeOH,70% MeOH,280000.0,64,39,87,753,2021-01-07_21h49m14s,NEDC,high,1.0
1164,2021-01-07_20h54m53s,pCSF_pos_slide_Spot2_20201220122959,NCSU,Alexandria Sohn,True,Positive,human,brain,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,136,211,495,1189,2021-01-07_20h54m53s,Other Solvent,high,1.0
1165,2021-01-07_20h53m04s,pCSF_pos_CS_10ppb_Spot3_lowerstagex2,NCSU,Alexandria Sohn,True,Positive,human,brain,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,34,126,555,2087,2021-01-07_20h53m04s,Other Solvent,high,1.0
1166,2021-01-07_20h51m30s,pCSF_pos_CS_10ppb_Spot3_lowerstage_it 45,NCSU,Alexandria Sohn,True,Positive,human,brain,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,5,40,484,1862,2021-01-07_20h51m30s,Other Solvent,high,0.5
1167,2021-01-07_20h43m57s,pCSF_pos_CS_10ppb_Spot1_lowerstage_it 20,NCSU,Alexandria Sohn,True,Positive,human,brain,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,14,108,557,1867,2021-01-07_20h51m30s,Other Solvent,high,0.5
1168,2021-01-07_20h39m48s,pCSF_pos_CS_10ppb_Spot1,NCSU,Alexandria Sohn,True,Positive,human,brain,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,87,213,882,2228,2021-01-07_20h39m48s,Other Solvent,high,1.0
1169,2021-01-07_20h36m34s,pCSF_pos_10ppb_lowerstage_Spot1,NCSU,Alexandria Sohn,True,Positive,human,brain,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,31,41,439,1321,2021-01-07_20h36m34s,Other Solvent,high,1.0
1170,2021-01-07_20h35m22s,pCSF_pos_afterTS_LP10_Spot1_run2,NCSU,Alexandria Sohn,True,Positive,human,brain,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,38,35,369,1977,2021-01-07_20h35m22s,Other Solvent,high,1.0
1171,2021-01-07_20h32m25s,pCSF_pos_afterTS_Spot1,NCSU,Alexandria Sohn,True,Positive,human,brain,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,55,41,495,1714,2021-01-07_20h33m32s,Other Solvent,high,0.5
1173,2021-01-06_21h12m48s,pcsf_AS HB_Spot 1_after troubleshooting,NCSU,Alexandria Sohn,True,Positive,human,brain,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,55,41,495,1715,2021-01-06_21h12m48s,Other Solvent,high,1.0
1174,2021-01-06_21h08m23s,pos_after troubleshooting_run 2_spot 1_laser pulse 10,NCSU,Alexandria Sohn,True,Positive,human,brain,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,38,35,369,1977,2021-01-06_21h08m23s,Other Solvent,high,1.0
1175,2021-01-06_21h06m12s,pos_spot 1_10ppb_no lower stage_spot 2,NCSU,Alexandria Sohn,True,Positive,human,brain,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,35,49,233,1438,2021-01-06_21h06m12s,Other Solvent,high,1.0
1176,2021-01-06_21h03m34s,pos_change syringe_10ppb_spot 3_lower stagex2,NCSU,Alexandria Sohn,True,Positive,human,brain,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,34,126,555,2087,2021-01-06_21h03m34s,Other Solvent,high,1.0
1177,2021-01-06_20h48m12s,pos_syringe change_10ppb_spot 1,NCSU,Alexandria Sohn,True,Positive,human,brain,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,87,213,882,2228,2021-01-06_20h48m12s,Other Solvent,high,1.0
1178,2021-01-06_20h50m02s,pos_syringe change_10ppb_spot1_lower stage,NCSU,Alexandria Sohn,True,Positive,human,brain,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,14,108,557,1867,2021-01-06_20h50m02s,Other Solvent,high,1.0
1179,2021-01-06_20h44m23s,20201220_pCSF AS HB_positive_slide_spot2_20201220122959,NCSU,Alexandria Sohn,True,Positive,human,brain,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,Other,none,240000.0,136,211,495,1189,2021-01-06_20h44m23s,Other Solvent,high,1.0
1190,2021-01-04_01h31m01s,2000-75_N_NEG,None,Anqi Tu,True,Negative,human,bladder,normal,ESI,IRMALDESI,Orbitrap,Orbitrap,Other,none,ACN,50% ACN | 0.2% FA,240000.0,476,356,351,207,2021-01-04_01h31m01s,ACN,high,1.0
1191,2021-01-04_00h06m06s,2000-75_N_POS,None,Anqi Tu,True,Positive,human,bladder,normal,ESI,IRMALDESI,Orbitrap,Orbitrap,Other,none,ACN,50% ACN | 0.2% FA,240000.0,658,828,1226,1447,2021-01-04_00h06m06s,ACN,high,1.0
1198,2020-12-23_10h14m19s,MPIMM_222_QE_P_MetaMix,MPI Bremen,Manuel Liebeke,True,Positive,n/a,n/a,n/a,MALDI,AP-SMALDI 10,Orbitrap,Orbitrap,DHB,SDHB,MeOH,50% MeOH | 0.1% TFA,240000.0,14,21,204,517,2020-12-23_10h13m10s,DHB,high,0.3333333333333333
1200,2020-12-23_06h44m32s,20201205_algae_dios_wd,U Melbourne,Wing Chan,True,Positive,symbiodiniaceae,whole organism,ambient or elevated temperatures,MALDI,MALDI,FTICR,FTMS,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Other,none,400000.0,14,15,409,1628,2020-12-23_06h44m32s,HCCA,high,1.0
1202,2020-12-22_22h54m28s,20201221_jl_lung_poscomp_dhb_slide2_hpmc2,PNNL,Jessica Lukowski,True,Positive,human,lung,biopsy,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,280000.0,35,41,127,1654,2020-12-22_22h54m28s,DHB,high,1.0
1204,2020-12-19_21h14m40s,marine_axenic_lowmz_neg,PNNL,Dusan Velickovic,True,Negative,marine culture,colonies,axenic,MALDI,MALDI,FTICR,FTICR,NEDC,NEDC,MeOH,70% MeOH,240000.0,26,48,128,2761,2020-12-19_21h14m40s,NEDC,high,1.0
1206,2020-12-13_23h08m12s,4769emb_S1_3_20um_12032020,♡EMBL♡,Theodore Alexandrov,True,Negative,human,kidney,frozen,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,79,95,411,1770,2020-12-13_23h08m12s,DAN,medium,1.0
1207,2020-12-11_19h37m54s,S-2006-002097_4_S4_SM_Neg_20201208_AP,UTHSA,Annapurna Pamreddy,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,93,47,293,1937,2021-12-01_18h08m03s,DAN,medium,0.004830917874396135
1208,2020-12-11_19h25m04s,S-2006-002097_2_S4_SM_Neg_20201208_AP,UTHSA,Annapurna Pamreddy,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,11,67,98,1032,2021-12-01_18h08m03s,DAN,medium,0.004830917874396135
1209,2020-12-10_21h00m53s,S-2006-004769-4_Sec5_S1_lip_pos_20201209_jl,PNNL,Jessica Lukowski,True,Positive,human,kidney,biopsy,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,280000.0,15,12,31,972,2020-12-03_19h24m24s,DHB,high,0.0625
1211,2020-12-09_22h30m47s,S-2006-002097_2_S1_SM_Neg_20201207_AP,UTHSA,Annapurna Pamreddy,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,6,21,36,4,2021-12-01_18h08m03s,DAN,medium,0.004830917874396135
1212,2020-12-09_21h51m46s,S-2006-002191_3_S1_SM_Neg_20201207_AP,UTHSA,Annapurna Pamreddy,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,72,79,181,1348,2021-12-01_18h08m03s,DAN,medium,0.004830917874396135
1213,2020-12-09_21h41m46s,S-2006-002191_1_S1_SM_Neg_20201207_AP,UTHSA,Annapurna Pamreddy,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,38,82,292,99,2021-12-01_18h08m03s,DAN,medium,0.004830917874396135
1214,2020-12-09_02h41m05s,S-2006-004769-2_Sec8_S2_lip_pos_20201203_dv,PNNL,Dusan Velickovic,True,Positive,human,kidney,biopsy _4769_#8,MALDI,MALDI,FTICR,FTICR,DHB,DHB,MeOH,70% MeOH,240000.0,39,33,186,1197,2020-12-09_02h41m05s,DHB,high,0.25
1215,2020-12-09_02h40m03s,S-2006-004769-2_Sec7_S2_lip_pos_20201203_dv,PNNL,Dusan Velickovic,True,Positive,human,kidney,biopsy _4769_#7,MALDI,MALDI,FTICR,FTICR,DHB,DHB,MeOH,70% MeOH,240000.0,35,22,90,1286,2020-12-09_02h41m05s,DHB,high,0.25
1217,2020-12-05_15h19m33s,S-2006-004769_2_S4_SM_Neg_20201125_AP,UTHSA,Annapurna Pamreddy,True,Negative,human,kidney,biopsy,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,8,35,117,1174,2021-12-01_18h08m03s,DAN,medium,0.004830917874396135
1218,2020-12-05_15h12m29s,S-2006-004769_1_S4_SM_Neg_20201125_AP,UTHSA,Annapurna Pamreddy,True,Negative,human,kidney,biopsy,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,10,30,174,1042,2021-12-01_18h08m03s,DAN,medium,0.004830917874396135
1219,2020-12-05_14h58m17s,S-2006-004769_3_S4_SM_Neg_20201204_AP,UTHSA,Annapurna Pamreddy,True,Negative,human,kidney,biopsy,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,55,158,435,1339,2021-12-01_18h08m03s,DAN,medium,0.004830917874396135
1221,2020-12-04_21h59m12s,S-2006-004769-2_Sec17_S3_lip_pos_20201203_jl,PNNL,Jessica Lukowski,True,Positive,human,kidney,biopsy,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,280000.0,24,22,132,1353,2020-12-03_19h24m24s,DHB,high,0.0625
1225,2020-12-04_19h16m17s,S-2006-004769_3_S1_SM_Neg_20201203_AP,UTHSA,Annapurna Pamreddy,True,Negative,human,kidney,frozen,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,59,106,421,1340,2021-12-01_18h08m03s,DAN,medium,0.004830917874396135
1228,2020-12-03_00h07m09s,20201130_jl_lungmap_cmc_2,PNNL,Jessica Lukowski,True,Positive,human,lung,wtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,280000.0,10,78,178,638,2020-12-03_00h07m09s,DHB,high,0.5
1229,2020-12-01_22h59m24s,20201130_jl_lungmap_agarose_1,PNNL,Jessica Lukowski,True,Positive,human,lung,wtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,280000.0,56,44,147,1822,2020-11-18_20h21m56s,DHB,high,0.16666666666666666
1231,2020-11-29_20h32m07s,1999_129T_NEG,None,Anqi Tu,True,Negative,human,ovary,cancer,ESI,IRMALDESI,Orbitrap,Orbitrap,Other,none,ACN,50% ACN | 0.2% FA,240000.0,541,481,312,131,2020-11-29_20h32m07s,ACN,high,1.0
1232,2020-11-25_23h45m36s,S-2006-004769_5_S1_SM_Neg_20201124_AP,UTHSA,Annapurna Pamreddy,True,Negative,human,kidney,frozen,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,20,39,42,1525,2021-12-01_18h08m03s,DAN,medium,0.004830917874396135
1233,2020-11-25_19h14m31s,S-2006-004769_1_S1_SM_Neg_20201124_AP,UTHSA,Annapurna Pamreddy,True,Negative,human,kidney,frozen,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,21,48,125,1936,2021-12-01_18h08m03s,DAN,medium,0.004830917874396135
1234,2020-11-18_21h50m45s,20201117_jl_lungmap_hydrogel_1,PNNL,Jessica Lukowski,True,Positive,human,lung,biopsy,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,50% MeOH,280000.0,31,20,108,1689,2020-11-18_21h50m45s,DHB,high,0.5
1235,2020-11-18_20h23m01s,20201117_jl_lungmap_agarose_3,PNNL,Jessica Lukowski,True,Positive,human,lung,biopsy,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,50% MeOH,280000.0,62,78,183,1420,2020-11-18_20h21m56s,DHB,high,0.16666666666666666
1236,2020-11-18_20h21m56s,20201117_jl_lungmap_agarose_2,PNNL,Jessica Lukowski,True,Positive,human,lung,biopsy,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,50% MeOH,280000.0,44,42,127,1148,2020-11-18_20h21m56s,DHB,high,0.16666666666666666
1237,2020-11-16_11h23m40s,case4-47_MFS_pos,None,Ilona Lipp,True,Positive,human,brain,control,MALDI,MALDI,Orbitrap,Orbitrap,DHAP,"2,5-dihydroxyacetophenone (DHA)",EtOH,50% EtOH,84852.81374238571,14,24,213,933,2022-04-22_13h50m55s,DHAP,medium,0.25
1239,2020-11-16_11h15m09s,case3-37_MFS_pos,None,Ilona Lipp,True,Positive,human,brain,control,MALDI,MALDI,Orbitrap,Orbitrap,DHAP,"2,5-dihydroxyacetophenone (DHA)",EtOH,50% EtOH,84852.81374238571,12,18,233,1372,2022-04-22_13h50m55s,DHAP,medium,0.25
1240,2020-11-16_11h13m38s,case3-47_V1_pos,None,Ilona Lipp,True,Positive,human,brain,control,MALDI,MALDI,Orbitrap,Orbitrap,DHAP,"2,5-dihydroxyacetophenone (DHA)",EtOH,50% EtOH,84852.81374238571,33,69,119,964,2020-11-16_11h13m38s,DHAP,medium,0.16666666666666666
1241,2020-11-16_11h12m42s,case3-47_CoS_pos,None,Ilona Lipp,True,Positive,human,brain,control,MALDI,MALDI,Orbitrap,Orbitrap,DHAP,"2,5-dihydroxyacetophenone (DHA)",EtOH,50% EtOH,84852.81374238571,49,56,208,925,2022-04-22_13h53m22s,DHAP,medium,0.25
1242,2020-11-16_10h33m20s,case3-27_V1_pos,None,Ilona Lipp,True,Positive,human,brain,control,MALDI,MALDI,Orbitrap,Orbitrap,DHAP,"2,5-dihydroxyacetophenone (DHA)",EtOH,50% EtOH,84852.81374238571,22,13,233,1284,2020-11-16_11h13m38s,DHAP,medium,0.16666666666666666
1244,2020-11-12_20h48m57s,20201110_jl_lungmap_slide1_2,PNNL,Jessica Lukowski,True,Positive,human,lung,biopsy,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,50% MeOH,280000.0,35,42,142,1706,2020-11-06_21h38m39s,DHB,high,0.09090909090909091
1245,2020-11-06_21h38m39s,20201105_jl_lungmap_slide2_2,PNNL,Jessica Lukowski,True,Positive,human,lung,biopsy,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,50% MeOH,280000.0,17,55,160,747,2020-11-06_21h38m39s,DHB,high,0.09090909090909091
1246,2020-11-03_17h04m35s,2020-10_02_BrainSpOmics_M2S7_nedc_neg_538x671_10ss_29AT,♡EMBL♡,Mohammed Shahraz,True,Negative,mouse,brain,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,NEDC,NEDC,ACN,70% ACN,140000.0,40,49,178,1089,2020-11-03_17h04m35s,NEDC,medium,1.0
1260,2020-10-28_16h14m44s,20190612_UVC_Decontamination_eval_posneg_150um_IT150_neg,AstraZeneca,Andreas Dannhorn,True,Negative,rat,kidney,wildtype,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,70000.0,520,757,1086,3276,2020-10-28_16h14m44s,Other Solvent,low,1.0
1261,2020-10-26_17h28m00s,20190819_UV-C_effects-Argon_atmosphere_neg,AstraZeneca,Andreas Dannhorn,True,Negative,rat,kidney,wildtype,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,70000.0,669,603,1129,1885,2020-10-26_17h28m00s,Other Solvent,low,1.0
1262,2020-10-19_10h34m52s,20201019_Brain_Cer_THAP_pos_ii,None,Tina Angerer,True,Positive,mouse,brain,wtype,MALDI,AP-MALDI,Orbitrap,Orbitrap,Other,"2,4,6-Trihydroxyacetophenone (THAP)",Other,none,169705.62748477142,9,15,76,816,2020-10-19_10h34m52s,Other Matrix,medium,1.0
1264,2020-10-16_10h02m22s,MPIMM_217_QE_MetaMix_PEN,MPI Bremen,Manuel Liebeke,True,Positive,n/a,n/a,n/a,MALDI,AP-SMALDI 10,Orbitrap,Orbitrap,DHB,SDHB,Acetone,60% acetone | 0.1% TFA,240000.0,19,22,28,384,2020-10-29_14h41m38s,DHB,high,0.5
1274,2020-10-06_13h09m16s,20201006_Brain_Cer_DANw_pos_i,None,Tina Angerer,True,Positive,mouse,brain,wtype,MALDI,AP-MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,none,169705.62748477142,31,20,57,221,2020-10-06_13h09m16s,DAN,medium,1.0
