,Unnamed: 0,ds_id,name,group,submitter,is_public,polarity,organism,organism_part,condition,source,raw_source,analyzer,raw_analyzer,matrix,raw_matrix,solvent,raw_solvent,rp,fdr5,fdr10,fdr20,fdr50,batch_grouping,matrix_solvent,rp_range,batch_weight,weight
2560,5689,2016-12-01_18h53m30s,150616_BPYN_Rat_Brain_NEG_centroid,U Melbourne,Berin Boughton,True,Negative,rat,brain,wildtype,MALDI,MALDI,FTICR,FTICR,Other,BPYN,Other,,720000.0,23.0,35,123.0,1249.0,2016-12-01_18h53m30s,Other Matrix,high,1.0,478800.6760456589
2540,5646,2018-05-23_15h10m59s,brain_loc_1,U Nottingham,Joris Meurs,True,Positive,human,brain,control,ESI,DESI,Orbitrap,Orbitrap,Other,none,MeOH,80% Methanol + 0.1% Formic acid,141421.35623730952,33.0,92,312.0,1291.0,2018-05-23_15h10m59s,MeOH,medium,1.0,6173027.85152302
2894,6256,2016-09-22_11h16m40s,Brain01_Bregma-3-88b_centroid,U Rennes 1,LAVIGNE Régis,True,Positive,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,CHCA,alpha-cyano-4-hydroxycinnamic acid (CHCA),Other,,260000.0,44.0,59,107.0,89.0,2016-09-22_11h16m40s,CHCA,high,1.0,432241.364056602
1545,3324,2016-09-22_11h16m41s,Brain01_Bregma1-42_03b_centroid,U Rennes 1,LAVIGNE Régis,True,Positive,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,CHCA,alpha-cyano-4-hydroxycinnamic acid (CHCA),Other,none,260000.0,36.0,37,102.0,101.0,2016-09-22_11h16m41s,CHCA,high,1.0,432241.364056602
977,2299,2016-12-09_16h28m13s,braintissue_dhblsprayed_hhqspot1p - root mean square,U Rennes 1,LAVIGNE Régis,True,Positive,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,19.0,31,37.0,38.0,2016-12-09_16h28m13s,DHB,high,0.5,119113.84960697684
2668,5888,2017-02-17_14h41m43s,U Rennes 1//mouse_brain_dhb_01 - positive_mode,U Rennes 1,LAVIGNE Régis,True,Positive,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,67.0,51,256.0,308.0,2017-02-17_14h56m37s,DHB,high,0.5,158818.4661426358
943,2242,2017-02-24_13h22m14s,mouse_brain_dhb_03 - root mean square,U Rennes 1,LAVIGNE Régis,True,Positive,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,50.0,62,226.0,320.0,2017-02-24_13h22m14s,DHB,high,1.0,317636.9322852716
945,2247,2017-02-24_15h03m08s,mouse_brain_dithranol_02 - root mean square,U Rennes 1,LAVIGNE Régis,True,Positive,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,Other,"1,8,9-anthracenetriol (Dithranol)",Other,,260000.0,24.0,22,32.0,475.0,2017-02-24_15h03m08s,Other Matrix,high,0.5,187892.67602674814
2546,5668,2017-02-24_15h45m51s,mouse_brain_9aa_neg_01 - root mean square,U Rennes 1,LAVIGNE Régis,True,Negative,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,260000.0,14.0,37,58.0,51.0,2017-02-24_15h45m51s,9AA,high,1.0,1210672.636160603
1763,3921,2022-01-07_13h33m50s,td01_broadband_9aa,U Rennes 1,LAVIGNE Régis,True,Negative,mouse,brain,control,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),EtOH,70% EtOH,260000.0,63.0,54,110.0,139.0,2022-01-07_13h33m50s,9AA,high,1.0,2724013.4313613568
634,1607,2019-08-16_16h59m54s,Brain1_CL_30um_08152019_MP,UTHSA,Annapurna Pamreddy,True,Positive,mouse,brain,,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,47.0,20,63.0,196.0,2019-08-16_16h59m54s,DAN,medium,1.0,1663159.2554019913
530,1399,2020-05-15_01h59m41s,18.001F_S2_DHB_30um_ 0513202020,UTHSA,Annapurna Pamreddy,True,Positive,human,brain,,MALDI,MALDI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,50% MeOH,134164.07864998738,15.0,49,66.0,98.0,2020-05-15_01h59m41s,DHB,medium,1.0,1898021.889576021
252,746,2021-09-27_18h57m26s,225_S1_2_30um_SM_09232021_c,UTHSA,Annapurna Pamreddy,True,Negative,mouse,brain,frozen,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",ACN,90%ACN,134164.07864998738,9.0,13,6.0,1361.0,2021-09-27_21h27m38s,DAN,medium,0.0909090909090909,267639.4245127042
1835,4118,2021-09-27_21h29m45s,416_S1_1_50um_SM_09242021_c,UTHSA,Annapurna Pamreddy,True,Negative,mouse,brain,frozen,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",ACN,90%ACN,134164.07864998738,28.0,76,100.0,1299.0,2021-09-27_21h27m38s,DAN,medium,0.0909090909090909,267639.4245127042
1598,3588,2022-08-16_10h14m23s,MouseBrain_PlasmaPI_Pos20um,UoW,Jesse Michael,True,Positive,mouse,brain,wildtype,MALDI,MALDI,TOF,qTOF,DHAP,"2,5-dihydroxyacetophenone (DHA)",Other,none,60000.0,14.0,249,556.0,1250.0,2022-08-16_10h14m23s,DHAP,low,1.0,8189304.326500182
13,201,2022-08-16_12h31m33s,MouseBrain_PlasmaPI_Pos_TIMS,UoW,Jesse Michael,True,Positive,mouse,brain,wildtype,MALDI,MALDI,TOF,qTOF,DHAP,"2,5-dihydroxyacetophenone (DHA)",Other,none,60000.0,46.0,77,156.0,855.0,2022-08-16_12h31m33s,DHAP,low,1.0,8189304.326500182
1243,2738,2017-05-31_11h51m56s,May30_coronal_brain_DESIneg,Waters,Emrys Jones,True,Negative,rat,brain,wildtype,ESI,DESI,TOF,qTOF,Other,none,Other,,30000.0,42.0,37,233.0,836.0,2017-05-31_11h51m56s,Other Solvent,low,1.0,3438467.239626968
3139,6695,2018-01-24_19h05m40s,DESIMousebrain_coronal,Waters,Emrys Jones,True,Negative,mouse,brain,,ESI,DESI,TOF,TOF reflector,Other,none,Other,none,30000.0,34.0,38,132.0,875.0,2018-01-24_19h05m40s,Other Solvent,low,1.0,4298084.04953371
2190,4881,2019-11-25_17h14m31s,DESI HEART SYNAPT-XS RES-MODE,Waters,Bindesh Shrestha,True,Positive,mouse,brain,,ESI,DESI,TOF,Synapt XS,Other,none,Other,none,40000.0,69.0,73,132.0,1817.0,2019-11-25_17h14m31s,Other Solvent,low,1.0,5494155.523213591
806,1962,2018-10-29_11h02m58s,26102018_CBO_SHA_brainDAN_p100_s80,♡EMBL♡,Mohammed Shahraz,True,Negative,mouse,brain,test,MALDI,MALDI,Orbitrap,Orbitrap,DAN,DAN,ACN,70% ACN,140000.0,41.0,40,120.0,697.0,2018-10-29_11h02m58s,DAN,medium,1.0,676584.2489845284
616,1564,2019-09-10_14h25m54s,090919_SangerBrainSample1_UniMatrix_150x150_NEG.RAW,♡EMBL♡,Mohammed Shahraz,True,Negative,mouse,brain,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DHB,Universal DHB CHCA,ACN,70% ACN,140000.0,4.0,33,85.0,361.0,2019-09-10_14h25m54s,DHB,medium,1.0,794188.7289778265
2229,4979,2019-09-11_15h25m08s,090919_SangerBrainSample2_UniMatrix_100x100_NEG,♡EMBL♡,Mohammed Shahraz,True,Negative,mouse,brain,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DHB,Universal DHB CHCA,ACN,70% ACN,140000.0,21.0,36,94.0,258.0,2019-09-11_15h25m08s,DHB,medium,1.0,794188.7289778265
461,1290,2020-09-13_22h32m24s,2020-09-11_BrainSpOmics_M1S6_nedc_neg_501x576_10ss_29AT,♡EMBL♡,Mohammed Shahraz,True,Negative,mouse,brain,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,NEDC,NEDC,ACN,70% ACN,140000.0,39.0,25,149.0,932.0,2020-09-13_22h32m24s,NEDC,medium,1.0,2303703.9938606853
450,1246,2020-11-03_17h04m35s,2020-10_02_BrainSpOmics_M2S7_nedc_neg_538x671_10ss_29AT,♡EMBL♡,Mohammed Shahraz,True,Negative,mouse,brain,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,NEDC,NEDC,ACN,70% ACN,140000.0,40.0,49,178.0,1089.0,2020-11-03_17h04m35s,NEDC,medium,1.0,2303703.9938606853
