ions,moleculeNames
C15H16N2O2+K+,"1-(9H-Pyrido[3,4-b]indol-1-yl)-1,4-butanediol"
C11H10N2O4+H+,2-{[hydroxy(4-hydroxy-1H-indol-3-yl)methylidene]amino}acetic acid
C11H12N2O3+H+,p-Hydroxyl-ethotoin
C26H30O14+K+,"3,4,5-trihydroxy-6-{3-hydroxy-5-[(E)-2-(4-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)ethenyl]phenoxy}oxane-2-carboxylic acid"
C20H21N5O6+K+,Pemetrexed
C21H22O6+K+,"1,7-bis(4-hydroxy-3-methoxyphenyl)hept-1-ene-3,5-dione"
C18H24O11+K+,"6-[3-(6,7-dimethoxy-2H-1,3-benzodioxol-5-yl)propoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid"
C15H28O11+K+,"2,3-Butanediol apiosylglucoside"
C19H30O10+K+,"2-[4-(3-Hydroxypropyl)-2-methoxyphenoxy]-1,3-propanediol 1-glucoside"
C14H11N3O+K+,2-Amino-5-benzoylbenzimidazole
C5H13N3O+K+,N-Carbamoylputrescine
C8H11NO+K+,"4-Hydroxy-2,6-dimethylaniline"
C17H19N3O4S+K+,3-Hydroxyomeprazole
C26H26O20+Na+,"3,4,5-trihydroxy-6-({6,7,8,11,12,21,22,23-octahydroxy-3,16-dioxo-2,17,20-trioxatetracyclo[17.3.1.0⁴,⁹.0¹⁰,¹⁵]tricosa-4,6,8,10,12,14-hexaen-13-yl}oxy)oxane-2-carboxylic acid"
C40H77O8P+K+,PA(22:1(13Z)/15:0)
C47H72O5+K+,DG(22:5n3/0:0/22:5n3)
C21H26N2O2S2+K+,Sulforidazine
C14H23N3O8S+K+,(gamma-Glutamyl-gamma-glutamyl)-S-methylcysteine
C9H15N5O+H+,Minoxidil
C8H10N4O2+H+,Enprofylline
C8H7N+H+,Benzeneacetonitrile
C7H5NOS+H+,4-Thiocyanatophenol
C8H8O3+H+,"4-[(E)-2-hydroxyethenyl]benzene-1,2-diol"
C16H22O4+H+,"2-[(3,3-dimethyloxiran-2-yl)methyl]-4-(3-methylbut-2-en-1-yl)benzene-1,3,5-triol"
C12H12O3+H+,7-Ethoxy-4-methyl-2H-1-benzopyran-2-one
C18H29NO4+H+,N-Jasmonoylisoleucine
C10H15NO2S+H+,2-(4-Methyl-5-thiazolyl)ethyl isobutyrate
C14H12N2O+H+,N-Methoxy-1-vinyl-beta-carboline
C17H34O2+H+,Methyl hexadecanoic acid
C6H12O5+Na+,"6-methyloxane-2,3,4,5-tetrol"
C21H41N5O7+Na+,Netilmicin
C10H8O3+H+,8-hydroxy-6-methyl-2H-chromen-2-one
C7H6O3+H+,"keratan sulfate II (core 2-linked), degradation product 1"
C13H17NO+H+,Crotamiton
C6H6O3+H+,"benzene-1,2,4-triol"
C12H15NO3+H+,Hydrocotarnine
C12H16O+H+,1-Phenyl-2-hexanone
C8H11NO+H+,"4-Hydroxy-2,6-dimethylaniline"
C8H18OS2+H+,3-[(2-Mercapto-1-methylpropyl)thio]-2-butanol
C15H22O+H+,(2Z)-2-(phenylmethylidene)octan-1-ol
C11H12O+H+,3-Phenyl-4-pentenal
C13H10O+H+,9-Hydroxyfluorene
C7H6O2+H+,2-Hydroxybenzaldehyde
C14H28O2+H+,10-Methyltridecanoic acid
C14H20O2+H+,2-benzylheptanoic acid
C9H14O2+H+,4-Oxo-2-nonenal
C11H14O2+H+,1-hydroxy-3-methyl-4-phenylbutan-2-one
C10H15N+H+,3-Pentylpyridine
C5H4N4S+K+,Mercaptopurine
C5H9NO2+H+,Pterolactam
C14H21NO2+H+,"N,O-Didesmethyltramadol"
C5H11NO2+Na+,Amyl Nitrite
C8H11N+H+,"2,6-Dimethylaniline"
C7H10N2+H+,"2,6-Toluenediamine"
C8H12O2+H+,"2-Propyl-2,4-pentadienoic acid"
C11H14O+H+,3-methyl-4-phenylbutan-2-one
C13H14O2+H+,"1-(4-methoxyphenyl)-4-methylpenta-1,4-dien-3-one"
C5H6O3+K+,cis-Acetylacrylate
C6H11NS2+K+,1-Thiocyanato-4-(methylthio)butane
C5H2Cl3NO2+H+,"3-Chloro-4-(dichloromethylene)-2,5-pyrrolidinedione"
C7H8N4O2+H+,Theobromine
C11H16O2+H+,2-tert-Butyl-4-hydroxyanisole
C8H8O2+H+,"4-ethenylbenzene-1,3-diol"
C12H24O2+H+,Isobutyl octanoate
C9H10O3+H+,2-hydroxy-2-phenylpropanoic acid
C8H8O6S+Na+,2-[4-(sulfooxy)phenyl]acetic acid
C7H16OS3+K+,Methyl 1-(propylsulfinyl)propyl disulfide
C9H12O2+H+,3-ethyl-5-methoxyphenol
C9H10O4+H+,2-hydroxy-2-(4-methoxyphenyl)acetic acid
C17H24O4+H+,3-(4-hydroxy-3-methoxyphenyl)-1-(3-pentyloxiran-2-yl)propan-1-one
C6H6N2O2+H+,2-Aminonicotinic acid
C17H24O3+H+,(1E)-1-(4-hydroxy-3-methoxyphenyl)dec-1-en-3-one
C7H10O2+H+,xi-5-Isopropyl-2(5H)-furanone
C14H16O2+H+,(2Z)-2-(phenylmethylidene)hept-6-enoic acid
C8H6N2S3+Na+,Oltipraz
C9H8ClNO4+Na+,"4-Chloro-6,7-dimethoxy-2-benzoxazolinone"
C8H12O+H+,Methyl-1-cyclopenten-1-yl)-ethanone
C6H10OS+K+,S-2-Propenyl propanethioate
C4H8O+K+,"2,2-Dimethyloxirane"
C15H30O2+H+,13-Methylmyristic acid
C16H32O2+H+,Dodecyl 2-methylpropanoate
C8H16OS+Na+,"2-Methyl-4-propyl-1,3-oxathiane"
C6H11NOS2+K+,Sulforaphane
C12H24O+H+,Lauric aldehyde
C7H7NO2+H+,2-Pyridylacetic acid
C12H16O2+H+,(1E)-1-(4-methoxyphenyl)pent-1-en-3-ol
C19H30O2+H+,5b-Dihydrotestosterone
C8H16O2+H+,"Tetrahydro-2,5-dimethyl-2H-pyranmethanol"
C6H10S2+K+,(E)-1-Propenyl 2-propenyl disulfide
C15H20O+H+,"1,10-Oxidocalamenene"
C7H5NO2+H+,2-Benzoxazolol
C7H8O2+H+,3-methoxyphenol
C6H11O8P+K+,Inositol cyclic phosphate
C9H14O+H+,"3,5,5-Trimethyl-3-cyclohexen-1-one"
C11H14O3+H+,4-hydroxy-4-(3-methoxyphenyl)butan-2-one
C9H13N+H+,iso-nLc8Cer
C10H13N3+Na+,Debrisoquine
C8H14+K+,"2,5-Dimethyl-2,4-hexadiene"
C10H15NO2S+Na+,2-(4-Methyl-5-thiazolyl)ethyl isobutyrate
C5H9NO+H+,(2R)-2-Hydroxy-2-methylbutanenitrile
C9H10O2+H+,4-(3-hydroxyprop-1-en-1-yl)phenol
C8H14O2+H+,Ethyl-3-hexanoate
C4H9NO2+H+,N-Methylalanine
C10H8O2+H+,"Naphthalene-1,2-diol"
C9H16O2+H+,"3,4-Epoxynonanal"
C11H23O7P+H+,LysoPA(8:0/0:0)
C7H6O5+K+,"2,3,4,6-tetrahydroxybenzaldehyde"
C19H38O2+H+,xi-16-Methyloctadecanoic acid
C8H16O3+Na+,(7R)-7-hydroxyoctanoic Acid
C8H10O2+H+,"4-ethylbenzene-1,3-diol"
C8H8+H+,Styrene
C5H11NO+H+,N-butylformamide
C6H10N6O+H+,Dacarbazine
C5H4O3+H+,"2,3-Dihydroxy-2,4-cyclopentadien-1-one"
C8H10S+Na+,2-Ethylbenzenethiol
C10H14N2+H+,Trimethyl-2-propenylpyrazine
C8H6O4+H+,Terephthalic acid
C12H14O2+H+,1-(4-hydroxyphenyl)-4-methylpent-1-en-3-one
C9H12O+H+,1-ethyl-3-methoxybenzene
C16H20O4+Na+,Acetylpterosin C
C7H5NS+H+,Benzothiazole
C7H7NO+H+,2-Acetylpyridine
C13H10S+H+,4-Methyldibenzothiophene
C6H12O3+H+,3-hydroxyhexanoic acid
C6H6ClNO2S+H+,p-Chlorobenzenesulfonamide
C10H20N2O3+Na+,Valyl-Valine
C10H16O2+H+,(xi)-(Z)-5-(3-Hexenyl)dihydro-2(3H)-furanone
C20H20N2O4+H+,Moschamine
C6H6O5S+H+,Pyrocatechol sulfate
C13H20O+H+,alpha-Ionone
C10H19O3+K+,2-Hydroxydecanoate
C9H14S+Na+,2-Pentylthiophene
C5H9NS+H+,"xi-2,5-Dihydro-2,4-dimethylthiazole"
C7H12O5+Na+,"(±)-Glycerol 1,2-diacetate"
C6H12N4+K+,Metenamine
C9H6O2+H+,Chromone
C10H14O2+H+,3-(4-methoxyphenyl)propan-1-ol
C7H12O2+H+,Allyl butyrate
C3H7O4P+H+,Fosfomycin
C5H8O2+H+,3-Methylbut-3-enoic acid
C23H32N2O5+H+,Ramipril
C5H10N+K+,1-Methylpyrrolinium
C12H18O2+H+,1-(4-methoxyphenyl)pentan-3-ol
C8H7NO+H+,Mandelonitrile
C6H12S2+H+,1-Propenyl propyl disulfide
C12H22O+H+,(E)-2-Butyl-2-octenal
C9H14N2O+H+,2-Methoxy-3-(1-methylpropyl)pyrazine
C7H5NS+Na+,Benzothiazole
C8H14O+H+,glutathionyl-3-hydroxykynurenine glucoside
C10H12O+H+,4-phenylbutan-2-one
C14H26O+H+,(Z)-8-Tetradecenal
C3H6O3S+K+,3-Mercaptolactic acid
C13H16O+H+,"1-H-Inden-1-one,2,3-dihydro-3,3,5,6-tetramethyl"
C18H36O+H+,(9Z)-octadecen-1-ol
C5H7NO3+H+,"(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid"
C8H12O3+H+,"8-Hydroxy-5,6-octadienoic acid"
C12H20O2+H+,"3,7-Dimethyl-2,6-octadien-1-ylacetate"
C6H15N+H+,Triethylamine
C9H8O2+H+,3-(4-hydroxyphenyl)prop-2-enal
C10H16O+H+,Camphor
C5H8O5+H+,2-Hydroxyglutarate
C10H10O2+H+,1-hydroxy-4-phenylbut-3-en-2-one
C9H18O2+H+,Ethyl 5-methylhexanoate
C6H5NO2+H+,Isonicotinic acid
C3H7ClO2+K+,Glycerol alpha-monochlorohydrin
C6H14O5+Na+,1-Deoxy-D-glucitol
C7H8O+H+,Anisole
C14H18O+H+,Pentyl cinnamaldehyde
C9H14+H+,3-Allyl-1-cyclohexene
C18H36O2+H+,Hexyl dodecanoate
C16H24O+H+,"1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-1,6-heptadien-3-one"
C13H18O3+H+,3-hydroxy-2-[4-(2-methylpropyl)phenyl]propanoic acid
C6H10O2+H+,"Dihydro-4,4-dimethyl-2(3H)-furanone"
C8H6O2+H+,1-benzofuran-4-ol
C6H8NO2+K+,1-piperideine-6-carboxylate
C7H14O5+Na+,2-O-Methyl-L-fucose
C12H20O+H+,"(2E,4E)-2,4-Dodecadienal"
C10H14+H+,4-Ethyl-o-xylene
C11H9NO2+H+,Indoleacrylic acid
C10H12+H+,"p-Mentha-1,3,5,8-tetraene"
C8H8O+H+,3-ethenylphenol
C12H18+H+,Hexylbenzene
C6H10O3S2+Na+,S-Acetyl dihydroasparagusic acid
C11H20N2O2+H+,"1,4'-Bipiperidine-1'-carboxylic acid"
C6H12O+H+,"(2R,3S)-2-methyl-3-propyloxirane"
C18H26O+H+,"2-Acetyl-3,5,5,6,8,8-hexamethyl-5,6,7,8- tetrahydronaphthalene"
C16H20O4+H+,Acetylpterosin C
C13H22O2+H+,Artemisyl propionate
C13H12N4+Na+,"1-Methyl-6-phenyl-1H-imidazo[4,5-b]pyridin-2-amine"
C10H14O+H+,2-methyl-3-phenylpropan-1-ol
C11H16O+H+,2-Methyl-3-(2-pentenyl)-2-cyclopenten-1-one
C7H5NS2+H+,2(3H)-Benzothiazolethione
C13H14N2+H+,"4,4'-Methylenedianiline"
C6H8NO2+Na+,1-piperideine-6-carboxylate
C7H14OS2+K+,Methylthiomethyl 2-methylbutanethiolate
C26H45NO7S+Na+,Taurohyocholate
C7H10O+H+,"(E,Z)-2,4-Heptadienal"
C13H20O2+H+,1-(4-methoxyphenyl)-4-methylpentan-3-ol
C4H6O3S2+H+,Asparagusic acid syn-S-oxide
C12H12S+H+,(Z)-1-(Methylthio)-5-phenyl-1-penten-3-yne
C13H24O3+H+,Menthyl lactate
C6H8O2+H+,"xi-3,5-Dimethyl-2(5H)-furanone"
C12H16+H+,1-(1-methylethenyl)-3-(1-methylethyl)-benzene
C18H38O2Si+H+,Trimethylsilyl n-pentadecanoic acid
C11H16+H+,Pentylbenzene
C8H10N4O3+H+,"1,3,9-Trimethyluric acid"
C5H11NO2+K+,Amyl Nitrite
C8H10O3+H+,"1-(4-hydroxyphenyl)ethane-1,2-diol"
C16H30O2+H+,(Z)-14-Methyl-6-pentadecenoic acid
C10H16+H+,Isoterpinolene
C9H10O+H+,Indan-1-ol
C15H28O2+H+,"15,5-Farnesanolide"
C12H26O3+K+,"8,8-Dimethoxy-2,6-dimethyl-2-octanol"
C9H11NO3+H+,"4,6,7-Trihydroxy-1,2,3,4-tetrahydroisoquinoline"
C20H16O4S+Na+,7-Hydroxymethyl-12-methylbenz[a]anthracene sulfate
C10H10O+H+,4-phenylbut-3-en-2-one
C13H18O+H+,Megastigmatrienone
C18H18N2O5+H+,Dictyoquinazol C
C9H11NO2+H+,5-(3-Pyridyl)-2-hydroxytetrahydrofuran
C10H13N5O3+H+,5'-Deoxyadenosine
C7H16S2+Na+,1-(Methylthio)-1-hexanethiol
C16H16N6O+Na+,Fluoxetine glucuronide
C15H20O4+Na+,2-[3-hydroxy-4-methoxy-5-(3-methylbut-2-en-1-yl)phenyl]propanoic acid
C10H12O3+H+,4-hydroxy-4-(4-hydroxyphenyl)butan-2-one
C18H22NO+Na+,N-(p-Hydroxyphenethyl)actinidine
C17H34O+H+,2-Heptadecanone
C8H12+H+,"(Z)-1,3-Octadiene"
C5H6S+Na+,3-Methylthiophene
C13H9ClO+H+,Chlorohydrin
C10H9N+H+,Quinaldine
C6H14NO+K+,Trimethylaminoacetone
C15H18O2+H+,(2Z)-2-(phenylmethylidene)oct-7-enoic acid
C3H3ClO2+Na+,cis-3-Chloroacrylic acid
C8H8OS+Na+,S-Methyl benzenecarbothioate
C19H27N3O8S+H+,"2-amino-4-({1-[(carboxymethyl)-C-hydroxycarbonimidoyl]-2-[(1,3-dihydroxy-1-phenylpropan-2-yl)sulfanyl]ethyl}-C-hydroxycarbonimidoyl)butanoic acid"
C19H28O2+K+,alpha-Amylcinnamyl isovalerate
C5H7NO2+H+,1-Pyrroline-2-carboxylic acid
C9H6O3+H+,8-hydroxy-2H-chromen-2-one
C5H12N2O3S+K+,Methionine sulfoximine
C21H29N3O+Na+,Disopyramide
C7H9N+H+,O-Toluidine
C8H10O+H+,3-Ethylphenol
C13H26O+H+,2-Tridecanone
C4H10O3+Na+,Trihydroxybutane
C14H26O5+K+,3-Hydroxytetradecanedioic acid
C9H7O3+H+,Cis-2-coumarate
C7H13N3+Na+,"Na,Na-Dimethylhistamine"
C9H11NO2S+Na+,N-(4-hydroxyphenyl)ethoxycarbothioamide
C10H19NO7+H+,D-1-[(3-Carboxypropyl)amino]-1-deoxyfructose
C14H19NO3+H+,2-Pentanamido-3-phenylpropanoic acid
C15H26O+H+,(Z)-Farnesol
C10H8O5+Na+,"6,8-dihydroxy-7-methoxy-2H-chromen-2-one"
C4H4S+Na+,Thiophene
C7H9NO+H+,2-Acetyl-1-methylpyrrole
C10H18O+H+,5-Methyl-2-(1-methylethyl)-cyclohexanone
C12H12O+H+,Cinnamylideneacetone
C12H20O3+Na+,"3-Ethenyl-4-hydroxy-2,5-dimethylhex-5-en-2-yl acetate"
C15H30O+H+,Heptyl ketone
C12H22O3+Na+,3-Oxododecanoic acid
C12H12O2+H+,"(4E)-5-(4-methoxyphenyl)penta-1,4-dien-3-one"
C6H11NOS2+H+,Sulforaphane
C17H26O+H+,Ginsenoyne J
C7H11NO4+H+,N-Acetyl-L-glutamate 5-semialdehyde
C8H10N2O3S+K+,Sulfacetamide
C14H10N4O5+Na+,Dantrolene
C11H10O2+H+,3-Propylidene-1(3H)-isobenzofuranone
C11H12O2+H+,1-(2-methyl-3-phenyloxiran-2-yl)ethan-1-one
C18H18O4+H+,4-[5-(3-hydroxypropyl)-1-benzofuran-2-yl]-2-methoxyphenol
C3H7NO3+H+,Protein serine
C8H12OS+Na+,2-[(Isopropylthio)methyl]furan
C6H14O3+Na+,"Polypropylene glycol (m w 1,200-3,000)"
C8H7NO2+H+,(S)-4-Hydroxymandelonitrile
C13H14O+H+,"(all-E)-3,5,7-Tridecatriene-9,11-diyn-1-ol"
C12H14+H+,Butadiene-styrene rubber
C4H6O4+H+,3-methoxy-3-oxopropanoic acid
C17H22O4+H+,"2-(3,7-dimethylocta-2,6-dien-1-yl)-3,4-dihydroxybenzoic acid"
C6H6OS+Na+,3-Acetylthiophene
C10H12O2+H+,3-(4-methoxyphenyl)prop-2-en-1-ol
C14H22O+H+,2-benzylheptan-1-ol
C5H11O8P+H+,D-Arabinose 5-phosphate
C13H20+H+,1-Methyl-2-n-hexylbenzene
C14H9NO+H+,Carbamazepine iminoquinone
C11H20O+H+,9-Undecenal
C12H8O+H+,Capillin
C19H38O+H+,2-Nonadecanone
C8H10+H+,o-Xylene
C13H14O3+H+,(R)-Bitalin A
C16H24O2+H+,[2-(Dimethoxymethyl)-1-heptenyl]benzene
C5H7NO5+K+,N-Formyl-L-aspartate
C6H9NOS2+Na+,(R)-(E)-Sulforaphene
C20H34O+H+,Serratol
C10H18O3+Na+,"exo,exo-1,8-Epoxy-p-menthane-2,6-diol"
C11H18O+H+,Norecasantalol
C9H8O+H+,Indanone
C11H15NO2+H+,Ethyl N-ethylanthranilate
C7H11NO5+Na+,N-Acetylglutamic acid
C5H10S+K+,2-Methyl-1-propenethiol
C4H6N2O3S+K+,N-Nitrosothiazolidine-4-carboxylic acid
C6H10S+Na+,Di-2-propenyl sulfide
C10H14O4+H+,"4-ethyl-2,6-dimethoxybenzene-1,3-diol"
C6H6O4+K+,"benzene-1,2,3,4-tetrol"
C13H8O+H+,"12-Tridecene-4,6,8,10-tetraynal"
C9H16O+H+,"(3E)-2,3,4-trimethylhex-3-enal"
C3H8NO+K+,3-amino-propanal
C11H15NO9P+H+,nicotinate beta-D-ribonucleotide
C7H13NO+H+,1-(1-Pyrrolidinyl)-2-propanone
C5H10N+Na+,1-Methylpyrrolinium
C18H23N+H+,Tolpropamine
C12H26NO2+K+,Heptanoylcholine
C5H5N5OS+H+,8-Hydroxythioguanine
C15H24O4+H+,Prostaglandin lactone-diol
C10H9Cl3O2+K+,alpha-Trichloromethylbenzyl acetate
C10H8O4+H+,"7,8-dihydroxy-6-methyl-2H-chromen-2-one"
C13H16O2+H+,2-[4-(2-methylprop-2-en-1-yl)phenyl]propanoic acid
C5H6O5+K+,3-methylmalate(2-)
C6H8O7+Na+,"D-Glucaro-1,4-lactone"
C8H8O4+H+,2-hydroxy-4-methoxybenzoic acid
C13H22O3+H+,"4,5-Dihydrovomifoliol"
C20H20O3+Na+,"3-(5-hydroxy-2,2-dimethyl-2H-chromen-6-yl)-1-phenylpropan-1-one"
C18H20N2O6+H+,Nitrendipine
C16H24O3+H+,"3,5-Bis(1,1-dimethylethyl)-4-hydroxy-benzoic acid ethyl ester"
C14H21N3O2S+H+,Sumatriptan
C20H27N+H+,Alverine
C7H11NO3+H+,N-Acetylproline
C12H21NO+H+,"3-Amino-1-hydroxy-5,7-dimethyl-adamantane"
C7H14S+H+,3-Methylcyclohexanethiol
C7H6N2+H+,5H-Cyclopentapyrazine
C5H11NS2+K+,"Dihydro-4,6-dimethyl-4H-1,3,5-dithiazine"
C15H15NO2+H+,Schinifoline
C15H24O2+H+,Humulene diepoxide A
C13H16+H+,"1,2-Dihydro-1,1,6-trimethylnaphthalene"
C6H7NO+K+,1-Methyl-2-pyrrolecarboxaldehyde
C14H14O+H+,Dibenzyl ether
C11H15NO+H+,Mephedrone
C6H15N2O3+H+,Erythro-5-hydroxy-L-lysinium(1+)
C15H28O+H+,3-Pentadecenal
C8H18O3+H+,"(3R,7R)-1,3,7-Octanetriol"
C4H10S3+H+,Diethyl trisulfide
C6H11NO+Na+,Epsilon-caprolactam
C9H7NO2+H+,"Quinoline-4,8-diol"
C16H19NO5S+K+,Benzyl glycinate 4-methylbenzenesulfonate salt
C9H14N4O4+H+,"(S,S)-Np-Histidinylalanine"
C10H21NO+H+,"N,2,3-Trimethyl-2-(1-methylethyl)butanamide"
C3H6S5+Na+,"1,2,4,5,7-Pentathiocane"
C6H10O7+Na+,"3,4,5,6-tetrahydroxyoxane-2-carboxylic acid"
C11H8O+H+,1-Naphthaldehyde
C7H11NO+H+,2-Ethyl-5-imino-1-cyclopenten-1-ol
C12H15NO3+Na+,Hydrocotarnine
C16H16O+H+,2-phenyl-2-(2-phenylethyl)oxirane
C6H13NS2+K+,Thialdine
C11H14O4+H+,4-hydroxy-4-(4-hydroxy-3-methoxyphenyl)butan-2-one
C18H25NO+H+,Dextromethorphan
C7H10O3+H+,Erinapyrone B
C10H20O2+H+,1-Methylethyl heptanoic acid
C17H32O+H+,8-Heptadecenal
C21H32O6+Na+,"[6]-Gingerdiol 3,5-diacetate"
C3H4O4+K+,Tartronate semialdehyde
C6H14N4O2+H+,D-Arginine
C6H12N2O4S2+K+,L-Cystine
C14H16O+H+,(2Z)-2-(phenylmethylidene)hept-6-enal
C5H8N2O2+H+,Pyroglutamine
C6H17N3+H+,Norspermidine
C6H10OS+H+,S-2-Propenyl propanethioate
C21H40O2+H+,"4,6-Heneicosanedione"
C15H21NO+H+,Rotundine A
C9H13N2O2+H+,Pyridostigmine
C19H22N2O3+H+,Alkaloid AQC2
C7H12O6+K+,Quinic acid
C8H12N2+H+,"2,3-Diethylpyrazine"
C18H23NO+H+,"3-methyl-4-(methylamino)-1,2-diphenylbutan-2-ol"
C17H35NO+H+,Capsiamide
C10H8+H+,Naphthalene
C17H28O3+H+,5-Pentyl-2-furanoctanoic acid
C6H8O3+H+,"2,7-Oxepanedione"
C2H6O2S2+Na+,Methyl methanethiosulfonate
C12H14O+H+,"(S)-11,12,13-Trinor-7-calamenone"
C11H8O+Na+,1-Naphthaldehyde
C10H13N2+Na+,Nicotine imine
C26H36O4+H+,Boviquinone 4
C9H16+H+,Prop-2-enylcyclohexane
C16H30O8+H+,"(1S,2R,4R,8S)-p-Menthane-2,8,9-triol 9-glucoside"
CH2Cl2+H+,Dichloromethane
C13H20O3+H+,3-Methyl-5-pentyl-2-furanpropanoic acid
C14H10+K+,"2,12-Tetradecadiene-4,6,8,10-tetrayne"
C20H40O2+H+,"3,7R,11R,15-tetramethyl-hexadecanoic acid"
C9H6N2S+Na+,Brassilexin
C17H28O2+H+,Nerolidyl acetate
C5H12N2O+H+,"1,1,3,3-tetramethylurea"
C11H18+H+,4-Methyl-2-methylene-1-(1methylethylidene)-cyclohexane
C8H14O4+Na+,3-Methylpimelic acid
C6H14O6+Na+,L-Iditol
C14H14N2O+H+,Metyrapone
C6H9NO2+H+,"(S)-2,3,4,5-tetrahydropyridine-2-carboxylate"
C4H7NO4+H+,1-deoxy-1-(N6-lysino)-D-fructose
C12H10+H+,Capillene
C17H26O2+H+,Ginsenoyne I
C9H15NO2+H+,Homoarecoline
C10H15N5+K+,Phenformin
C4H10O4S4+H+,Bis(methylsulfonylmethyl) disulfide
C15H16+H+,Lactarofulvene
C4H9NO3+H+,4-Amino-3-hydroxybutyrate
C11H18O2+H+,Methyl geranate
C2H4Cl2+H+,"1,2-Dichloroethane"
C4H11O3PS+H+,Diethylthiophosphate
C3H4Cl2+Na+,"1,3-Dichloropropene"
C4H4ClN3+H+,3(S)-hydroxy-13-cis-docosenoyl-CoA
C5H12N+K+,"N,N,N-Trimethylethenaminium"
C5H5N5O+H+,Guanine
C7H5NS+K+,Benzothiazole
C10H18O4+Na+,N-lactoyl-Isoeucine
C17H30O+H+,"8,11-Heptadecadienal"
C13H11NO+H+,1-Hydroxy-3-methyl-9H-carbazole
C9H17NO+H+,2-(1-Pyrrolidinyl)-3-pentanone
C9H16O3+H+,9-Oxo-nonanoic acid
C11H9N+H+,4-Phenylpyridine
C20H40O+H+,Thromboxane
C9H14O7+Na+,2-Isopropyl citrate
C7H13NO3+H+,Methyl 5-(hydroxymethyl)pyrrolidine-3-carboxylate
C12H17NO3+Na+,Cerulenin
C6H10O4+H+,4-Ethoxy-4-oxobutanoic acid
C10H10O3+H+,(2E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enal
C8H6N4O5+K+,Nitrofurantoin
C7H12N2O3+H+,Prolylglycine
C8H12OS2+Na+,2-Methyl-3-(propyldithio)furan
CHNOS+K+,Hypothiocyanite
C15H12O9+H+,"5,6,7,8-tetrahydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one"
C5H7N3O+H+,3-Methylcytosine
C7H12O+H+,"2,5-Heptadien-1-ol"
C11H10+H+,1-Methylnaphthalene
CH4NO5P+K+,Carbamoyl phosphate
C6H7NO+H+,1-Methyl-2-pyrrolecarboxaldehyde
C3H6N6+Na+,Melamine
C7H8O7+Na+,Daucic acid
C9H10+H+,Indane
C6H8N2O2+H+,Pi-Methylimidazoleacetic acid
C5H12S3+H+,1-(Ethylthio)ethyl methyl disulfide
C9H11Cl3NO3PS+H+,Chlorpyrifos
C4H6O2+K+,Isocrotonic acid
C11H19N3O7S+K+,gamma-Glutamylcysteinylserine
C7H8O3+H+,"2-methoxybenzene-1,4-diol"
C5H9NOS2+K+,3-Methylsulfinylpropyl isothiocyanate
C14H16+H+,"1,4-Dimethyl-7-ethylazulene"
C4H10S3+Na+,Diethyl trisulfide
C6H7N3O+H+,Isoniazid
C13H16N2+K+,Dexmedetomidine
C13H12O2+H+,(Z)-3-(1-Butenyl)-1H-2-benzopyran-1-one
C25H40O6+H+,simvastatin hydroxy acid
C11H9NO4+Na+,8-Methoxykynurenate
C7H8N4O2+K+,Theobromine
C17H25ClO2+K+,Panaxydol chlorohydrin
C16H32O+H+,2-Hexadecanone
C7H16NO+K+,4-Trimethylammoniobutanal
C7H9N5O+K+,7-Aminomethyl-7-carbaguanine
C9H12+H+,m-Ethyl_toluene
C13H18+H+,alpha-Ionene
C6H13NO3S+K+,(R)C(R)S-S-Propylcysteine sulfoxide
C16H28O+H+,Ambronide
C15H16O+H+,"1,3-diphenylpropan-1-ol"
C4H7NO2+K+,1-Aminocyclopropanecarboxylic acid
C12H26O7+H+,Hexaethylene glycol
C16H30O+H+,Hexadecenal
C11H16O3+H+,4-(3-hydroxybutyl)-2-methoxyphenol
C9H8O3+H+,3-(4-hydroxyphenyl)oxirane-2-carbaldehyde
C15H26O2+H+,alpha-Kessyl alcohol
C5H8O3+H+,2-(hydroxymethyl)but-2-enoic acid
C6H14N+K+,Cyclohexylammonium
C15H24O3+H+,3-Methyl-5-propyl-2-furanheptanoic acid
C13H24N2O+H+,Cuscohygrine
C3H5ClO+K+,trans-3-Chloro-2-propene-1-ol
C11H20O3+Na+,Clarycet
C7H8O6+Na+,"(Z)-But-1-ene-1,2,4-tricarboxylate"
C8H9NO+H+,"5-(2-Furanyl)-3,4-dihydro-2H-pyrrole"
C9H13NO3+H+,Oxidized-adrenal-ferredoxin
C5H6N2O2+H+,Imidazoleacetic acid
C10H13NO2+H+,Salsolinol
C13H14+H+,"1,4,5-Trimethyl-naphtalene"
C7H6O+H+,Benzaldehyde
C5H14NO+K+,Choline
C9H17NS2+K+,1-Isothiocyanato-7-(methylthio)heptane
C17H24O+H+,Panaxynol
C6H18OSi2+Na+,Dimethicone
C10H15N3+H+,Bethanidine
C7H14N2O3S+H+,Glycyl-Methionine
C12H12+H+,"1,7-Dimethylnaphthalene"
